title,price,currency,url,image_url,brand,description,width,height,depth,material,color,new_used
Scandi 2-seat sofa,12990,SEK,https://example.com/sofa1,https://picsum.photos/400/300?1,Example Brand,Modern two-seater in fabric.,180,85,95,fabric,gray,new
Velvet 3-seat,18990,SEK,https://example.com/sofa2,https://picsum.photos/400/300?2,Example Brand,Luxury velvet three-seater.,220,90,98,velvet,green,new
Compact sofa,8990,SEK,https://example.com/sofa3,https://picsum.photos/400/300?3,Example Brand,Small space friendly.,160,80,90,fabric,beige,new
Leather corner,24990,SEK,https://example.com/sofa4,https://picsum.photos/400/300?4,Example Brand,Corner leather sofa.,250,95,100,leather,brown,new
Boucle armchair,7490,SEK,https://example.com/sofa5,https://picsum.photos/400/300?5,Example Brand,Cozy boucle armchair.,100,75,85,boucle,white,new
Linen loveseat,15990,SEK,https://example.com/sofa6,https://picsum.photos/400/300?6,Example Brand,Relaxed linen two-seater.,175,88,92,linen,cream,new
Navy sectional,21990,SEK,https://example.com/sofa7,https://picsum.photos/400/300?7,Example Brand,Deep seat sectional in navy.,280,92,105,fabric,navy,new
Rattan accent chair,5490,SEK,https://example.com/sofa8,https://picsum.photos/400/300?8,Example Brand,Woven rattan armchair.,85,78,82,rattan,beige,new
Charcoal modular,27990,SEK,https://example.com/sofa9,https://picsum.photos/400/300?9,Example Brand,Modular sofa charcoal fabric.,240,90,100,fabric,charcoal,new
Terracotta daybed,12490,SEK,https://example.com/sofa10,https://picsum.photos/400/300?10,Example Brand,Daybed in terracotta velvet.,200,85,95,velvet,terracotta,new
Wood frame bench,3990,SEK,https://example.com/sofa11,https://picsum.photos/400/300?11,Example Brand,Oak frame upholstered bench.,120,45,55,wood,gray,new
Blue velvet armchair,9890,SEK,https://example.com/sofa12,https://picsum.photos/400/300?12,Example Brand,Statement blue velvet chair.,95,82,88,velvet,blue,new
Black leather 2-seat,19990,SEK,https://example.com/sofa13,https://picsum.photos/400/300?13,Example Brand,Classic black leather sofa.,185,80,92,leather,black,new
Cream boucle 3-seat,22990,SEK,https://example.com/sofa14,https://picsum.photos/400/300?14,Example Brand,Three-seater in cream boucle.,225,88,98,boucle,cream,new
Green linen sofa,16990,SEK,https://example.com/sofa15,https://picsum.photos/400/300?15,Example Brand,Sage green linen three-seater.,210,85,96,linen,green,new
Metal leg accent,6290,SEK,https://example.com/sofa16,https://picsum.photos/400/300?16,Example Brand,Mid-century metal leg chair.,80,76,78,metal,gray,new
Brown leather recliner,14990,SEK,https://example.com/sofa17,https://picsum.photos/400/300?17,Example Brand,Recliner in brown leather.,100,105,95,leather,brown,new
White fabric sofa,13990,SEK,https://example.com/sofa18,https://picsum.photos/400/300?18,Example Brand,Clean white two-seater.,178,82,90,fabric,white,new
Pink velvet loveseat,17990,SEK,https://example.com/sofa19,https://picsum.photos/400/300?19,Example Brand,Blush pink velvet loveseat.,170,86,94,velvet,pink,new
Beige sectional,25990,SEK,https://example.com/sofa20,https://picsum.photos/400/300?20,Example Brand,L-shaped beige sectional.,265,90,102,fabric,beige,new
Gray leather armchair,11990,SEK,https://example.com/sofa21,https://picsum.photos/400/300?21,Example Brand,Soft gray leather chair.,92,80,85,leather,gray,new
Scandi oak bench,4690,SEK,https://example.com/sofa22,https://picsum.photos/400/300?22,Example Brand,Oak slat bench with cushion.,140,48,50,wood,beige,new
Navy boucle chair,8490,SEK,https://example.com/sofa23,https://picsum.photos/400/300?23,Example Brand,Navy boucle accent chair.,88,75,82,boucle,navy,new
Forest green velvet,20990,SEK,https://example.com/sofa24,https://picsum.photos/400/300?24,Example Brand,Forest green velvet 3-seat.,218,88,97,velvet,green,new
Linen chaise,18990,SEK,https://example.com/sofa25,https://picsum.photos/400/300?25,Example Brand,Chaise longue in natural linen.,220,88,95,linen,cream,new
